code,course name,EOS_2021,Mid_2021,test_2021,EOS_2020,Mid_2020,test_2020,EOS_2019,Mid_2019,test_2019
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,61.0,yes,57.0,58.0,yes,58.0,59.0,yes
AC120,International Business,294.0,352.0,no,209.0,280.0,no,234.0,269.0,no
AC137,Liberal Arts,270.0,334.0,no,252.0,270.0,no,252.0,275.0,no
CT125,Computing and IT,242.0,334.0,no,220.0,299.0,no,235.0,280.0,no
CT325,Business,253.0,337.0,no,281.0,338.0,no,,,
CM001,Education - Primary Teaching,508.0,518.0,no,484.0,487.0,no,452.0,462.0,no
CM002,Education - Primary Teaching - Gaeltacht Applicants,462.0,506.0,yes,0.0,0.0,yes,421.0,440.0,yes
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,513.0,546.0,yes,528.0,570.0,yes,491.0,506.0,yes
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),480.0,618.0,yes,494.0,513.0,yes,492.0,569.0,yes
CM010,Education Studies,327.0,440.0,no,317.0,407.0,no,317.0,373.0,no
CM020,Early Childhood Education,317.0,377.0,no,327.0,390.0,no,336.0,363.0,no
DB500,Computing,204.0,333.0,no,218.0,301.0,no,242.0,320.0,no
DB501,Computing (Cloud Computing),178.0,309.0,no,227.0,280.0,no,326.0,329.0,no
DB502,Computing (Data Analytics and Big Data),233.0,351.0,no,334.0,377.0,no,269.0,269.0,no
DB503,Computing (Software Development),0.0,0.0,no,225.0,281.0,no,242.0,282.0,no
DB504,Computing (Web and Mobile Technology),0.0,0.0,no,281.0,281.0,no,227.0,269.0,no
DB510,Audio Production and Music Project Management,217.0,317.0,no,223.0,290.0,no,233.0,293.0,no
DB512,Business Studies,210.0,347.0,no,203.0,308.0,no,229.0,301.0,no
DB514,Business Studies (Law),225.0,346.0,no,251.0,270.0,no,269.0,337.0,no
DB515,Business Studies (Human Resource Management),217.0,318.0,no,244.0,326.0,no,225.0,288.0,no
DB517,Marketing (Event Management),225.0,336.0,no,238.0,309.0,no,226.0,327.0,no
DB518,Marketing (Digital Media),209.0,354.0,no,,,,210.0,289.0,no
DB521,Accounting and Finance,228.0,379.0,no,195.0,318.0,no,225.0,271.0,no
DB524,Business (Information Systems),239.0,327.0,no,309.0,409.0,no,402.0,402.0,no
DB525,Marketing (Digital Media and Cloud Computing),288.0,337.0,no,,,,284.0,309.0,no
DB526,Business (Cloud Computing),244.0,327.0,no,347.0,423.0,no,253.0,288.0,no
DB527,Applied Social Care,219.0,308.0,no,234.0,306.0,no,235.0,288.0,no
DB531,Marketing,176.0,368.0,no,293.0,336.0,no,220.0,288.0,no
DB562,Psychology,233.0,342.0,no,229.0,322.0,no,208.0,310.0,no
DB566,Social Science,228.0,319.0,no,220.0,290.0,no,216.0,308.0,no
