,code,course name,EOS,Mid,test
349,DC115,Accounting and Finance,510.0,544.0,no
350,DC116,Global Business (USA),579.0,601.0,no
351,DC117,Aviation Management / Aviation Management with Pilot Studies,475.0,500.0,no
352,DC118,Gnó agus Gaeilge / Business and Irish,359.0,429.0,no
353,DC119,Global Business (Canada),564.0,577.0,no
354,DC120,Enterprise Computing,357.0,392.0,no
355,DC121,Computer Applications,400.0,455.0,no
356,DC123,Data Science,465.0,531.0,no
357,DC126,Actuarial Mathematics,560.0,578.0,no
358,DC127,Common Entry into Actuarial and Financial Mathematics,520.0,543.0,no
359,DC131,Communication Studies,402.0,451.0,no
360,DC132,Journalism,422.0,466.0,no
361,DC133,Multimedia,410.0,451.0,no
362,DC155,Applied Language and Translation Studies,387.0,444.0,no
363,DC161,Analytical Science,489.0,510.0,no
364,DC162,Chemical and Pharmaceutical Sciences,521.0,544.0,no
365,DC166,Environmental Science and Technology,399.0,441.0,no
366,DC168,Genetics and Cell Biology,510.0,529.0,no
367,DC175,Physics General Entry (options),402.0,467.0,no
368,DC181,Biotechnology,495.0,511.0,no
369,DC190,Electronic and Computer Engineering (with choice of four majors),413.0,465.0,no
370,DC193,Mechatronic Engineering,411.0,487.0,no
371,DC195,Mechanical and Manufacturing Engineering,425.0,487.0,no
372,DC197,Biomedical Engineering,423.0,477.0,no
373,DC200,Common Entry into Engineering (Undenominated Entry),422.0,487.0,no
374,DC201,Common Entry into Science (Undenominated Entry),488.0,499.0,no
375,DC202,Sport Science and Health,498.0,521.0,no
376,DC203,Science Education,435.0,487.0,no
377,DC204,Athletic Therapy and Training,519.0,533.0,no
378,DC205,Physical Education with Biology,531.0,553.0,no
379,DC206,Physical Education with Mathematics,499.0,520.0,no
380,DC208,Psychology,521.0,533.0,no
381,DC209,Health and Society,440.0,466.0,no
382,DC215,General Nursing,433.0,462.0,no
383,DC216,Mental Health Nursing,403.0,424.0,no
384,DC217,Intellectual Disability Nursing,370.0,390.0,no
385,DC218,Children`s and General Nursing (Integrated),498.0,522.0,no
386,DC230,"Economics, Politics and Law",435.0,462.0,no
387,DC231,International Relations,397.0,433.0,no
388,DC232,Law and Society (BCL),466.0,496.0,no
389,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309.0,357.0,no
390,DC238,Social Sciences and Cultural Innovation,377.0,411.0,no
391,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430.0,473.0,no
392,DC240,"Marketing, Innovation and Technology",474.0,498.0,no
393,DC291,Arts (Joint Honours) - Media Studies,376.0,409.0,no
394,DC292,Arts (Joint Honours) - Law,403.0,430.0,no
395,DC293,Arts (Joint Honours) - International Languages,377.0,466.0,no
396,DC295,Arts (Joint Honours) - Politics,376.0,409.0,no
420,DK810,Accounting and Finance,305.0,401.0,no
421,DK816,Business Studies,300.0,367.0,no
422,DK820,Computing in Games Development,311.0,348.0,no
423,DK821,Computing in Software Development,302.0,361.0,no
424,DK822,Augmented and Virtual Reality,304.0,380.0,no
425,DK830,Building Surveying,336.0,352.0,no
426,DK831,Architectural Technology,389.0,433.0,no
427,DK832,Construction Management,387.0,419.0,no
428,DK843,Engineering (Common Entry),340.0,439.0,no
429,DK844,Mechanical Engineering,305.0,448.0,no
430,DK845,Electrical & Electronic Engineering,304.0,392.0,no
431,DK846,Civil Engineering,361.0,392.0,no
432,DK850,International Tourism Management,317.0,377.0,no
433,DK860,Music (audition),503.0,634.0,yes
434,DK861,Arts,302.0,363.0,no
435,DK862,Social Care,301.0,347.0,no
436,DK863,Creative Media,308.0,337.0,no
437,DK864,Film and Television Production,300.0,402.0,no
438,DK865,Audio and Music Production,301.0,367.0,no
439,DK870,General Nursing,397.0,419.0,no
440,DK872,Intellectual Disability Nursing,336.0,358.0,no
441,DK874,Mental Health Nursing,356.0,379.0,no
442,DK876,Early Childhood Studies,321.0,388.0,no
443,DK877,Midwifery,440.0,470.0,no
444,DK880,Health and Physical Activity,328.0,389.0,no
445,DK882,Agriculture (Award options),310.0,380.0,no
446,DK883,Science (Award options),300.0,370.0,no
447,DK884,Sustainable Agriculture,0.0,0.0,no
448,DK885,Agri-Food Production,0.0,0.0,no
449,DK886,Biopharmaceutical Science,301.0,338.0,no
450,DK887,Environmental Science,330.0,589.0,no
452,DL821,"English, Media and Cultural Studies",212.0,347.0,no
453,DL822,Arts Management,235.0,337.0,no
454,DL823,Business Management,237.0,325.0,no
455,DL825,Applied Psychology,379.0,434.0,no
456,DL826,Visual Communication Design,855.0,1024.0,yes
457,DL827,Art,572.0,941.0,yes
458,DL828,"3D Design, Modelmaking and Digital Art",538.0,920.0,yes
459,DL829,Design for Stage and Screen (Costume Design),593.0,947.0,yes
460,DL830,Design for Stage and Screen (Character Makeup Design),939.0,968.0,yes
461,DL831,Design for Stage and Screen (Production Design),781.0,1026.0,yes
462,DL832,Animation,920.0,1022.0,yes
463,DL833,Photography,667.0,854.0,yes
464,DL834,Film and Television Production,990.0,1040.0,yes
465,DL836,Creative Computing,219.0,300.0,no
466,DL837,New Media Studies,201.0,316.0,no
467,DL838,Creative Music Production,754.0,972.0,yes
468,DL839,Interaction and User Experience Design,683.0,990.0,yes
469,DL840,Digital Marketing,228.0,327.0,no
470,DL841,English and Equality Studies,276.0,341.0,no
